Quận,Loại,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet
Tây Hồ,Nhà riêng,120.0,13.5,7,7
Nam Từ Liêm,Căn hộ chung cư,88.0,6.2,2,2
Tây Hồ,Căn hộ chung cư,145.0,13.5,3,2
Hà Đông,Căn hộ chung cư,114.0,4.9,3,2
Cầu Giấy,Căn hộ chung cư,153.0,6.2,3,3
Nam Từ Liêm,Nhà mặt phố,142.0,56.0,30,32
Hà Đông,Căn hộ chung cư,62.0,2.6,2,2
Bắc Từ Liêm,Căn hộ chung cư,84.0,3.9,2,2
Hoài Đức,Nhà riêng,30.0,3.0,3,4
Cầu Giấy,Căn hộ chung cư,108.0,7.5,3,2
Hoàng Mai,Căn hộ chung cư,76.0,3.26,2,2
Nam Từ Liêm,Căn hộ chung cư,61.0,3.4,2,2
Long Biên,Nhà riêng,55.0,9.8,5,4
Long Biên,Nhà mặt phố,68.0,24.0,5,4
Ba Đình,Nhà mặt phố,130.0,62.8,9,15
Long Biên,Nhà riêng,31.0,3.68,3,4
Hà Đông,Nhà mặt phố,40.0,13.8,5,5
Hà Đông,Căn hộ chung cư,60.0,2.3,2,2
Hà Đông,Căn hộ chung cư,65.0,2.39,2,2
Hà Đông,Căn hộ chung cư,127.0,5.95,3,2
Thanh Xuân,Căn hộ chung cư,105.0,6.05,3,2
Gia Lâm,Căn hộ chung cư,63.0,2.5,2,2
Ba Đình,Nhà mặt phố,146.0,105.0,1,1
Nam Từ Liêm,Căn hộ chung cư,89.0,4.6,2,2
Hà Đông,Căn hộ chung cư,107.0,4.6,3,2
Hà Đông,Căn hộ chung cư,85.0,4.0,2,2
Cầu Giấy,Căn hộ chung cư,64.0,3.4,2,2
Nam Từ Liêm,Căn hộ chung cư,78.0,4.0,2,2
Hà Đông,Căn hộ chung cư,124.0,5.0,3,2
Gia Lâm,Căn hộ chung cư,45.0,2.11,1,1
Hai Bà Trưng,Nhà riêng,15.0,1.9,3,2
Hai Bà Trưng,Căn hộ chung cư,70.0,3.5,2,2
Hoàng Mai,Nhà riêng,46.0,4.6,3,3
Hai Bà Trưng,Căn hộ chung cư,110.0,8.0,3,2
Cầu Giấy,Nhà riêng,51.0,15.0,11,11
Nam Từ Liêm,Nhà riêng,45.0,6.4,6,6
Gia Lâm,Căn hộ chung cư,81.0,4.29,3,2
Tây Hồ,Căn hộ chung cư,91.0,6.0,1,2
Cầu Giấy,Nhà mặt phố,46.0,25.0,4,4
Thanh Xuân,Nhà mặt phố,75.0,21.0,2,2
Tây Hồ,Căn hộ chung cư,154.0,18.79,4,3
Hà Đông,Nhà riêng,33.0,2.88,3,4
Hoàng Mai,Căn hộ chung cư,108.0,4.2,3,2
Tây Hồ,Căn hộ chung cư,258.0,29.0,4,4
Tây Hồ,Căn hộ chung cư,215.0,44.0,4,3
Gia Lâm,Căn hộ chung cư,62.0,3.27,2,2
Thanh Xuân,Căn hộ chung cư,95.0,6.0,3,2
Nam Từ Liêm,Căn hộ chung cư,89.0,6.2,2,2
Hoàn Kiếm,Nhà mặt phố,45.0,7.9,1,1
